"common_name","scientific_name"
"arrowtooth flounder","atheresthes stomias"
"canary rockfish","sebastes pinniger"
"chilipepper","sebastes goodei"
"darkblotched rockfish","sebastes crameri"
"dover sole","microstomus pacificus"
"english sole","parophrys vetulus"
"flathead sole","hippoglossoides elassodon"
"giant grenadier","albatrossia pectoralis"
"lingcod","ophiodon elongatus"
"longspine thornyhead","sebastolobus altivelis"
"north pacific hake","merluccius productus"
"north pacific spiny dogfish","squalus suckleyi"
"northern rock sole","lepidopsetta polyxystra"
"pacific cod","gadus macrocephalus"
"pacific halibut","hippoglossus stenolepis"
"pacific ocean perch","sebastes alutus"
"pacific sanddab","citharichthys sordidus"
"pacific spiny dogfish","squalus suckleyi"
"petrale sole","eopsetta jordani"
"rex sole","glyptocephalus zachirus"
"sablefish","anoplopoma fimbria"
"sharpchin rockfish","sebastes zacentrus"
"shortbelly rockfish","sebastes jordani"
"shortspine thornyhead","sebastolobus alascanus"
"splitnose rockfish","sebastes diploproa"
"spotted ratfish","hydrolagus colliei"
"stripetail rockfish","sebastes saxicola"
"walleye pollock","gadus chalcogrammus"
"yellowtail rockfish","sebastes flavidus"
